variant,transform,value,accuracy,balanced_accuracy,real_accuracy,fake_accuracy,auroc,average_precision
clean,clean,,0.9498663101604278,0.9498663101604278,0.9866310160427807,0.9131016042780749,0.9847670883496812,0.9787352815097172
jpeg_q90,jpeg,90,0.9518716577540107,0.9518716577540107,0.982620320855615,0.9211229946524064,0.9839605704338128,0.9758020696849476
jpeg_q70,jpeg,70,0.9471925133689839,0.947192513368984,0.9886363636363636,0.9057486631016043,0.9850119480825874,0.9800841065520579
jpeg_q50,jpeg,50,0.9659090909090909,0.9659090909090908,0.9806149732620321,0.9512032085561497,0.9857929970116389,0.9764125677434986
jpeg_q30,jpeg,30,0.9612299465240641,0.9612299465240641,0.9919786096256684,0.93048128342246,0.9904799608224427,0.986780503298906
blur_sigma0.5,blur,0.5,0.9522058823529411,0.9522058823529411,0.983957219251337,0.9204545454545454,0.9844053840544482,0.9771738850854875
blur_sigma1,blur,1.0,0.9234625668449198,0.9234625668449198,0.981951871657754,0.8649732620320856,0.976171081886814,0.9684304061374597
blur_sigma2,blur,2.0,0.9087566844919787,0.9087566844919786,0.981951871657754,0.8355614973262032,0.9731655180302554,0.9655087319368862
resize_0.5x,resize,0.5,0.9575534759358288,0.9575534759358288,0.981951871657754,0.9331550802139037,0.9829167887986502,0.9747473483694975
resize_0.25x,resize,0.25,0.9341577540106952,0.9341577540106951,0.9893048128342246,0.8790106951871658,0.9843682976350482,0.980004845065614
noise_sigma0.02,noise,0.02,0.9044117647058824,0.9044117647058822,0.9893048128342246,0.81951871657754,0.9725167291029198,0.9701378867278458
noise_sigma0.05,noise,0.05,0.8783422459893048,0.8783422459893049,0.9886363636363636,0.768048128342246,0.9650424751208213,0.9630842869095175
noise_sigma0.10,noise,0.1,0.8780080213903744,0.8780080213903744,0.9812834224598931,0.7747326203208557,0.9539665936257828,0.9489312657278459
color_minus20,color,0.8,0.9318181818181818,0.9318181818181819,0.9565508021390374,0.9070855614973262,0.9639137968629358,0.944486685930497
color_plus20,color,1.2,0.94451871657754,0.9445187165775402,0.9852941176470589,0.9037433155080213,0.9829954298807515,0.9765309206567919
center_crop_80,crop,0.8,0.9054144385026738,0.9054144385026738,0.9565508021390374,0.8542780748663101,0.9530334010123253,0.9351455377879648
