variant,transform,value,accuracy,balanced_accuracy,real_accuracy,fake_accuracy,auroc,average_precision
clean,clean,,0.549,0.549,0.998,0.1,0.943874,0.9393473919186022
jpeg_q90,jpeg,90,0.545,0.545,0.998,0.092,0.933466,0.927251568165609
jpeg_q70,jpeg,70,0.539,0.539,0.997,0.081,0.927487,0.9246420129631565
jpeg_q50,jpeg,50,0.5325,0.5325,1.0,0.065,0.937043,0.933615627093351
jpeg_q30,jpeg,30,0.505,0.505,0.999,0.011,0.930872,0.9215942346017643
blur_sigma0.5,blur,0.5,0.5495,0.5495,0.998,0.101,0.952916,0.9497024093273334
blur_sigma1,blur,1.0,0.5505,0.5505,0.998,0.103,0.949319,0.9449851503713906
blur_sigma2,blur,2.0,0.5675,0.5675,0.999,0.136,0.952401,0.9500136077641721
resize_0.5x,resize,0.5,0.551,0.551,0.998,0.104,0.941852,0.9382236081627604
resize_0.25x,resize,0.25,0.547,0.547,0.999,0.095,0.95802,0.9530320798767966
noise_sigma0.02,noise,0.02,0.514,0.514,0.998,0.03,0.919185,0.9126275510721934
noise_sigma0.05,noise,0.05,0.505,0.505,0.999,0.011,0.8976885,0.8847058588716766
noise_sigma0.10,noise,0.1,0.5015,0.5015,0.999,0.004,0.863372,0.829647865297738
color_minus20,color,0.8,0.5665,0.5665,0.997,0.136,0.926767,0.9199930570773835
color_plus20,color,1.2,0.528,0.528,0.998,0.058,0.938066,0.9332224206547317
center_crop_80,crop,0.8,0.558,0.558,0.998,0.118,0.938696,0.9376765047649578
